EpochTime,BuffWarning,status,Resolution
1520032719094,1,3,5
1520032719194,1,3,5
1520032719294,1,3,5
1520032719393,1,3,5
1520032719494,1,3,5
1520032719600,1,3,5
1520032719694,1,3,5
1520032719794,1,3,5
1520032719896,1,3,5
1520032719993,1,3,5
1520032720097,1,3,5
1520032720193,1,3,5
1520032720296,1,3,5
1520032720398,1,3,5
1520032720496,1,3,5
1520032720596,1,3,5
1520032720694,1,3,5
1520032720798,1,3,5
1520032720893,1,3,5
1520032720993,1,3,5
1520032721095,1,3,5
1520032721194,1,3,5
1520032721293,1,3,5
1520032721394,1,3,5
1520032721493,1,3,5
1520032721593,1,3,5
1520032721694,1,3,5
1520032721795,1,3,5
1520032721896,1,3,5
1520032721994,1,3,5
1520032722097,1,3,5
1520032722196,1,3,5
1520032722294,1,3,5
1520032722394,1,3,5
1520032722493,1,3,5
1520032722595,1,3,5
1520032722694,1,3,5
1520032722794,1,3,5
1520032722900,1,3,5
1520032722999,1,3,5
1520032723100,1,3,5
1520032723193,1,3,5
1520032723293,1,3,5
1520032723396,1,3,5
1520032723494,1,3,5
1520032723599,1,3,5
1520032723694,1,3,5
1520032723815,1,3,5
1520032723893,1,3,5
1520032723998,1,3,5
1520032724103,1,3,5
1520032724199,1,3,5
1520032724296,1,3,5
1520032724398,1,3,5
1520032724497,1,3,5
1520032724597,1,3,5
1520032724697,1,3,5
1520032724795,1,3,5
1520032724895,1,3,5
1520032724994,1,3,5
1520032725097,1,3,5
1520032725194,1,3,5
1520032725294,1,3,5
1520032725393,1,3,5
1520032725494,1,3,5
1520032725596,1,3,5
1520032725693,1,3,5
1520032725793,1,3,5
1520032725893,1,3,5
1520032725996,1,3,5
1520032726094,1,3,5
1520032726193,1,3,5
1520032726293,1,3,5
1520032726394,1,3,5
1520032726493,1,3,5
1520032726593,1,3,5
1520032726693,1,3,5
1520032726794,1,3,5
1520032726893,1,3,5
1520032726993,1,3,5
1520032727094,1,3,5
1520032727193,1,3,5
1520032727310,1,3,5
1520032727394,1,3,5
1520032727494,1,3,5
1520032727593,1,3,5
1520032727693,1,3,5
1520032727793,1,3,5
1520032727893,1,3,5
1520032727993,1,3,5
1520032728093,1,3,5
1520032728193,1,3,5
1520032728294,1,3,5
1520032728393,1,3,5
1520032728494,1,3,5
1520032728594,1,3,5
1520032728693,1,3,5
1520032728794,1,3,5
1520032728893,1,3,5
1520032728993,1,3,5
1520032729093,1,3,5
1520032729193,1,3,5
1520032729293,1,3,5
1520032729394,1,3,5
1520032729493,1,3,5
1520032729593,1,3,5
1520032729694,1,3,5
1520032729794,1,3,5
1520032729897,1,3,5
1520032729997,1,3,5
1520032730102,1,3,5
1520032730197,1,3,5
1520032730296,1,3,5
1520032730394,1,3,5
1520032730494,1,3,5
1520032730600,1,3,5
1520032730694,1,3,5
1520032730797,1,3,5
1520032730893,1,3,5
1520032730994,1,3,5
1520032731100,1,3,5
1520032731194,1,3,5
1520032731294,1,3,5
1520032731393,1,3,5
1520032731494,1,3,5
1520032731603,1,3,5
1520032731693,1,3,5
1520032731794,1,3,5
1520032731895,1,3,5
1520032731994,1,3,5
1520032732093,1,3,5
1520032732194,1,3,5
