EpochTime,BuffWarning,status,Resolution
1520271047906,1,3,4
1520271048006,1,3,4
1520271048111,1,3,4
1520271048209,1,3,4
1520271048306,1,3,4
1520271048418,1,3,4
1520271048509,1,3,4
1520271048606,1,3,4
1520271048706,1,3,4
1520271048807,1,3,4
1520271048911,1,3,4
1520271049007,1,3,4
1520271049109,1,3,4
1520271049210,1,3,4
1520271049306,1,3,4
1520271049411,1,3,4
1520271049506,1,3,4
1520271049606,1,3,4
1520271049707,1,3,4
1520271049806,1,3,4
1520271049909,1,3,4
1520271050006,1,3,4
1520271050106,1,3,4
1520271050205,1,3,4
1520271050307,1,3,4
1520271050414,1,3,4
1520271050506,1,3,4
1520271050608,1,3,4
1520271050707,1,3,4
1520271050806,1,3,4
1520271050915,1,3,4
1520271051007,1,3,4
1520271051108,1,3,4
1520271051209,1,3,4
1520271051310,1,3,4
1520271051410,1,3,4
1520271051506,1,3,4
1520271051608,1,3,4
1520271051706,1,3,4
1520271051809,1,3,4
1520271051909,1,3,4
1520271052006,1,3,4
1520271052108,1,3,4
1520271052209,1,3,4
1520271052308,1,3,4
1520271052410,1,3,4
1520271052506,1,3,4
1520271052627,1,3,4
1520271052706,1,3,4
1520271052806,1,3,4
1520271052908,1,3,4
1520271053011,1,3,4
1520271053107,1,3,4
1520271053208,1,3,4
1520271053307,1,3,4
1520271053409,1,3,4
1520271053507,1,3,4
1520271053606,1,3,4
1520271053706,1,3,4
1520271053806,1,3,4
1520271053907,1,3,4
1520271054006,1,3,4
1520271054108,1,3,4
1520271054206,1,3,4
1520271054306,1,3,4
1520271054406,1,3,4
1520271054508,1,3,4
1520271054606,1,3,4
1520271054706,1,3,4
1520271054806,1,3,4
1520271054907,1,3,4
1520271055007,1,3,4
1520271055106,1,3,4
1520271055206,1,3,4
1520271055306,1,3,4
1520271055407,1,3,4
1520271055506,1,3,4
1520271055607,1,3,4
1520271055707,1,3,4
1520271055806,1,3,4
1520271055907,1,3,4
1520271056006,1,3,4
1520271056107,1,3,4
1520271056206,1,3,4
1520271056307,1,3,4
1520271056407,1,3,4
1520271056506,1,3,4
1520271056607,1,3,4
1520271056706,1,3,4
1520271056806,1,3,4
1520271056907,1,3,4
1520271057006,1,3,4
1520271057107,1,3,4
1520271057207,1,3,4
1520271057306,1,3,4
1520271057407,1,3,4
1520271057507,1,3,4
1520271057606,1,3,4
1520271057714,1,3,4
1520271057806,1,3,4
1520271057906,1,3,4
1520271058006,1,3,4
1520271058108,1,3,4
1520271058307,1,3,4
1520271058410,1,3,4
1520271058517,1,3,4
1520271058606,1,3,4
1520271058707,1,3,4
1520271058806,1,3,4
1520271058906,1,3,4
1520271059006,1,3,4
1520271059106,1,3,4
1520271059205,1,3,4
1520271059307,1,3,4
1520271059407,1,3,4
1520271059508,1,3,4
1520271059606,1,3,4
1520271059707,1,3,4
1520271059806,1,3,4
1520271059912,1,3,4
1520271060006,1,3,4
1520271060107,1,3,4
1520271060206,1,3,4
1520271060307,1,3,4
1520271060408,1,3,4
1520271060509,1,3,4
1520271060609,1,3,4
1520271060707,1,3,4
1520271060806,1,3,4
1520271060907,1,3,4
1520271061006,1,3,4
1520271061106,1,3,4
1520271061207,1,3,4
1520271061307,1,3,4
1520271061408,1,3,4
1520271061508,1,3,4
1520271061606,1,3,4
1520271061708,1,3,4
1520271061806,1,3,4
1520271061906,1,3,4
1520271062007,1,3,4
1520271062106,1,3,4
1520271062206,1,3,4
1520271062307,1,3,4
1520271062408,1,3,4
1520271062507,1,3,4
1520271062607,1,3,4
1520271062706,1,3,4
1520271062808,1,3,4
1520271062907,1,3,4
1520271063006,1,3,4
1520271063107,1,3,4
1520271063206,1,3,4
1520271063306,1,3,4
1520271063407,1,3,4
1520271063507,1,3,4
1520271063607,1,3,4
1520271063707,1,3,4
1520271063807,1,3,4
1520271063906,1,3,4
1520271064006,1,3,4
1520271064106,1,3,4
1520271064207,1,3,4
1520271064306,1,3,4
1520271064406,1,3,4
1520271064506,1,3,4
1520271064606,1,3,4
1520271064707,1,3,4
1520271064806,1,3,4
1520271064907,1,3,4
1520271065006,1,3,4
1520271065106,1,3,4
1520271065206,1,3,4
1520271065306,1,3,4
1520271065409,1,3,4
1520271065507,1,3,4
1520271065607,1,3,4
1520271065707,1,3,4
1520271065807,1,3,4
1520271065908,1,3,4
1520271066006,1,3,4
1520271066107,1,3,4
1520271066206,1,3,4
1520271066307,1,3,4
1520271066408,1,3,4
1520271066506,1,3,4
1520271066606,1,3,4
1520271066706,1,3,4
1520271066806,1,3,4
1520271066908,1,3,4
1520271067006,1,3,4
1520271067106,1,3,4
1520271067206,1,3,4
1520271067307,1,3,4
1520271067407,1,3,4
1520271067506,1,3,4
1520271067608,1,3,4
1520271067710,1,3,4
1520271067806,1,3,4
1520271067918,1,3,4
1520271068006,1,3,4
1520271068106,1,3,4
1520271068206,1,3,4
1520271068306,1,3,4
1520271068408,1,3,4
1520271068507,1,3,4
1520271068608,1,3,4
1520271068708,1,3,4
1520271068809,1,3,4
1520271068909,1,3,4
1520271069007,1,3,4
1520271069106,1,3,4
1520271069206,1,3,4
1520271069309,1,3,4
1520271069410,1,3,4
1520271069507,1,3,4
