EpochTime,BuffWarning,status,Resolution
1520279656992,1,3,4
1520279657094,1,3,4
1520279657193,1,3,4
1520279657293,1,3,4
1520279657395,1,3,4
1520279657494,1,3,4
1520279657596,1,3,4
1520279657694,1,3,4
1520279657795,1,3,4
1520279657896,1,3,4
1520279657994,1,3,4
1520279658093,1,3,4
1520279658196,1,3,4
1520279658293,1,3,4
1520279658394,1,3,4
1520279658498,1,3,4
1520279658595,1,3,4
1520279658694,1,3,4
1520279658797,1,3,4
1520279658893,1,3,4
1520279658994,1,3,4
1520279659093,1,3,4
1520279659194,1,3,4
1520279659296,1,3,4
1520279659392,1,3,4
1520279659494,1,3,4
1520279659594,1,3,4
1520279659697,1,3,4
1520279659799,1,3,4
1520279659894,1,3,4
1520279659994,1,3,4
1520279660095,1,3,4
1520279660193,1,3,4
1520279660294,1,3,4
1520279660393,1,3,4
1520279660494,1,3,4
1520279660595,1,3,4
1520279660695,1,3,4
1520279660796,1,3,4
1520279660894,1,3,4
1520279660994,1,3,4
1520279661097,1,3,4
1520279661194,1,3,4
1520279661293,1,3,4
1520279661396,1,3,4
1520279661494,1,3,4
1520279661593,1,3,4
1520279661693,1,3,4
1520279661793,1,3,4
1520279661894,1,3,4
1520279661995,1,3,4
1520279662104,1,3,4
1520279662194,1,3,4
1520279662294,1,3,4
1520279662396,1,3,4
1520279662494,1,3,4
1520279662594,1,3,4
1520279662693,1,3,4
1520279662797,1,3,4
1520279662895,1,3,4
1520279662994,1,3,4
1520279663096,1,3,4
1520279663193,1,3,4
1520279663293,1,3,4
1520279663393,1,3,4
1520279663494,1,3,4
1520279663600,1,3,4
1520279663693,1,3,4
1520279663794,1,3,4
1520279663893,1,3,4
1520279663995,1,3,4
1520279664094,1,3,4
1520279664195,1,3,4
1520279664293,1,3,4
1520279664394,1,3,4
1520279664497,1,3,4
1520279664593,1,3,4
1520279664693,1,3,4
1520279664794,1,3,4
1520279664897,1,3,4
1520279664993,1,3,4
1520279665095,1,3,4
1520279665196,1,3,4
1520279665298,1,3,4
1520279665393,1,3,4
1520279665497,1,3,4
1520279665593,1,3,4
1520279665694,1,3,4
1520279665792,1,3,4
1520279665893,1,3,4
1520279665996,1,3,4
1520279666092,1,3,4
1520279666193,1,3,4
1520279666294,1,3,4
1520279666393,1,3,4
1520279666496,1,3,4
1520279666593,1,3,4
1520279666693,1,3,4
1520279666796,1,3,4
1520279666899,1,3,4
1520279666998,1,3,4
1520279667095,1,3,4
1520279667198,1,3,4
1520279667294,0,3,4
1520279667494,0,3,4
1520279667594,0,3,4
1520279667694,0,3,4
1520279667793,0,3,4
1520279667895,0,3,4
1520279667994,0,3,4
1520279668094,0,3,4
1520279668193,0,3,4
1520279668295,0,3,4
1520279668393,0,3,4
1520279668494,0,3,4
1520279668594,0,3,4
1520279668693,0,3,4
1520279668793,0,3,4
1520279668893,0,3,4
1520279668994,0,3,4
1520279669093,0,3,4
1520279669193,0,3,4
1520279669296,0,3,4
1520279669394,0,3,4
1520279669494,0,3,4
1520279669593,0,3,4
1520279669694,0,3,4
1520279669797,0,3,4
1520279669893,0,3,4
1520279669994,0,3,4
1520279670094,0,3,4
1520279670195,0,3,4
1520279670293,0,3,4
1520279670394,0,3,4
1520279670495,0,3,4
1520279670594,0,3,4
1520279670695,0,3,4
1520279670795,0,3,4
1520279670892,0,3,4
1520279670994,0,3,4
1520279671095,0,3,4
1520279671194,0,3,4
1520279671295,0,3,4
1520279671396,0,3,4
1520279671494,0,3,4
1520279671593,0,3,4
1520279671693,0,3,4
1520279671793,0,3,4
1520279671896,0,3,4
1520279671995,0,3,4
1520279672098,0,3,4
1520279672197,0,3,4
1520279672294,0,3,4
1520279672393,0,3,4
1520279672494,0,3,4
1520279672596,0,3,4
1520279672695,0,3,4
1520279672797,0,3,4
1520279672900,0,3,4
1520279672995,0,3,4
1520279673096,0,3,4
1520279673195,0,3,4
1520279673295,0,3,4
1520279673399,0,3,4
1520279673500,0,3,4
1520279673595,0,3,4
1520279673696,0,3,4
1520279673794,0,3,4
1520279673897,0,3,4
1520279673993,0,3,4
1520279674094,0,3,4
1520279674198,0,3,4
1520279674294,0,3,4
1520279674398,0,3,4
1520279674504,0,3,4
1520279674595,0,3,4
1520279674698,0,3,4
1520279674793,0,3,4
1520279674895,0,3,4
1520279674994,0,3,4
1520279675094,0,3,4
1520279675197,0,3,4
1520279675294,0,3,4
1520279675399,0,3,4
1520279675497,0,3,4
1520279675594,0,3,4
1520279675700,0,3,4
1520279675795,0,3,4
1520279675901,0,3,4
1520279675997,0,3,4
1520279676097,0,3,4
1520279676197,0,3,4
1520279676295,0,3,4
1520279676400,0,3,4
1520279676500,0,3,4
1520279676594,0,3,4
1520279676693,0,3,4
1520279676794,0,3,4
1520279676893,0,3,4
1520279676997,0,3,4
1520279677094,0,3,4
1520279677194,0,3,4
1520279677293,0,3,4
1520279677394,0,3,4
1520279677495,0,3,4
1520279677593,0,3,4
1520279677696,0,3,4
1520279677793,0,3,4
1520279677895,0,3,4
1520279677996,0,3,4
1520279678096,0,3,4
1520279678195,0,3,4
1520279678294,0,3,4
1520279678394,0,3,4
1520279678494,0,3,4
1520279678596,0,3,4
1520279678698,0,3,4
1520279678796,0,3,4
1520279678897,0,3,4
1520279678994,0,3,4
1520279679098,0,3,4
1520279679195,0,3,4
1520279679297,0,3,4
1520279679394,0,3,4
1520279679494,0,3,4
1520279679597,0,3,4
1520279679694,0,3,4
1520279679795,0,3,4
1520279679896,0,3,4
1520279679995,0,3,4
1520279680096,0,3,4
1520279680194,0,3,4
1520279680296,0,3,4
1520279680396,0,3,4
1520279680495,0,3,4
1520279680594,0,3,4
1520279680693,0,3,4
1520279680794,0,3,4
1520279680893,0,3,4
1520279681004,0,3,4
1520279681094,0,3,4
1520279681195,0,3,4
1520279681294,0,3,4
1520279681393,0,3,4
1520279681502,0,3,4
1520279681596,0,3,4
1520279681693,0,3,4
1520279681795,0,3,4
1520279681893,0,3,4
1520279681995,0,3,4
1520279682094,0,3,4
1520279682193,0,3,4
1520279682297,0,3,4
1520279682394,0,3,4
1520279682504,0,3,4
1520279682595,0,3,4
1520279682696,0,3,4
1520279682794,0,3,4
1520279682894,0,3,4
1520279682995,0,3,4
1520279683095,0,3,4
1520279683196,0,3,4
1520279683294,0,3,4
1520279683394,0,3,4
1520279683503,0,3,4
1520279683594,0,3,4
1520279683693,0,3,4
1520279683795,0,3,4
1520279683894,0,3,4
1520279683996,0,3,4
1520279684093,0,3,4
1520279684194,0,3,4
1520279684295,0,3,4
1520279684395,0,3,4
1520279684497,0,3,4
1520279684596,0,3,4
1520279684697,0,3,4
1520279684798,0,3,4
1520279684897,0,3,4
1520279684997,0,3,4
1520279685095,0,3,4
1520279685194,0,3,4
1520279685298,0,3,4
1520279685396,0,3,4
1520279685494,0,3,4
1520279685599,0,3,4
1520279685697,0,3,4
1520279685800,0,3,4
1520279685898,0,3,4
1520279685994,0,3,4
1520279686100,0,3,4
1520279686196,0,3,4
1520279686296,0,3,4
1520279686393,0,3,4
1520279686497,0,3,4
1520279686598,0,3,4
1520279686696,0,3,4
1520279686800,0,3,4
1520279686898,0,3,4
1520279686995,0,3,4
1520279687098,0,3,4
1520279687195,0,3,4
1520279687297,0,3,4
1520279687394,0,3,4
1520279687495,0,3,4
1520279687594,0,3,4
1520279687694,0,3,4
1520279687794,0,3,4
1520279687894,0,3,4
1520279687999,0,3,4
1520279688096,0,3,4
1520279688193,0,3,4
1520279688293,0,3,4
1520279688394,0,3,4
1520279688496,0,3,4
1520279688599,0,3,4
1520279688694,0,3,4
1520279688794,0,3,4
1520279688894,0,3,4
1520279688994,0,3,4
