EpochTime,BuffWarning,status,Resolution
1521512384373,1,3,3
1521512384473,1,3,3
1521512384574,1,3,3
1521512384673,1,3,3
1521512384774,1,3,3
1521512384887,1,3,3
1521512384975,1,3,3
1521512385075,1,3,3
1521512385173,1,3,3
1521512385274,1,3,3
1521512385374,1,3,3
1521512385474,1,3,3
1521512385574,1,3,3
1521512385674,1,3,3
1521512385773,1,3,3
1521512385876,1,3,3
1521512385975,1,3,3
1521512386074,1,3,3
1521512386174,1,3,3
1521512386273,1,3,3
1521512386375,1,3,3
1521512386473,1,3,3
1521512386573,1,3,3
1521512386672,1,3,3
1521512386774,1,3,3
1521512386873,1,3,3
1521512386973,1,3,3
1521512387073,1,3,3
1521512387173,1,3,3
1521512387274,1,3,3
1521512387377,1,3,3
1521512387473,1,3,3
1521512387573,1,3,3
1521512387674,1,3,3
1521512387774,1,3,3
1521512387875,1,3,3
1521512387974,1,3,3
1521512388073,1,3,3
1521512388174,1,3,3
1521512388274,1,3,3
1521512388373,1,3,3
1521512388475,1,3,3
1521512388574,1,3,3
1521512388673,1,3,3
1521512388773,1,3,3
1521512388873,1,3,3
1521512388973,1,3,3
1521512389073,1,3,3
1521512389174,1,3,3
1521512389272,1,3,3
1521512389373,1,3,3
1521512389472,1,3,3
1521512389573,1,3,3
1521512389673,1,3,3
1521512389773,1,3,3
1521512389874,1,3,3
1521512389973,1,3,3
1521512390073,1,3,3
1521512390173,1,3,3
1521512390273,1,3,3
1521512390373,1,3,3
1521512390474,1,3,3
1521512390573,1,3,3
1521512390672,1,3,3
1521512390774,1,3,3
1521512390873,1,3,3
1521512390973,1,3,3
1521512391073,1,3,3
1521512391173,1,3,3
1521512391273,1,3,3
1521512391374,1,3,3
1521512391475,1,3,3
1521512391573,1,3,3
1521512391674,1,3,3
1521512391773,1,3,3
1521512391874,1,3,3
1521512391975,1,3,3
1521512392077,1,3,3
1521512392176,1,3,3
1521512392273,1,3,3
1521512392376,1,3,3
1521512392477,1,3,3
1521512392575,1,3,3
1521512392675,1,3,3
1521512392773,1,3,3
1521512392876,1,3,3
1521512392973,1,3,3
1521512393074,1,3,3
1521512393173,1,3,3
1521512393274,1,3,3
1521512393375,1,3,3
1521512393473,1,3,3
1521512393573,1,3,3
1521512393672,1,3,3
1521512393773,1,3,3
1521512393881,1,3,3
1521512393975,1,3,3
1521512394072,1,3,3
1521512394174,1,3,3
1521512394274,1,3,3
1521512394375,1,3,3
1521512394472,1,3,3
1521512394574,1,3,3
1521512394675,1,3,3
1521512394828,1,3,3
1521512394873,1,3,3
1521512394974,1,3,3
1521512395073,1,3,3
1521512395173,1,3,3
1521512395273,1,3,3
1521512395375,1,3,3
1521512395473,1,3,3
1521512395573,1,3,3
1521512395674,1,3,3
1521512395774,1,3,3
1521512395873,1,3,3
1521512395973,1,3,3
1521512396074,1,3,3
1521512396173,1,3,3
1521512396274,1,3,3
1521512396373,1,3,3
1521512396473,1,3,3
1521512396572,1,3,3
1521512396672,1,3,3
1521512396773,1,3,3
1521512396873,1,3,3
1521512396973,1,3,3
1521512397072,1,3,3
1521512397173,1,3,3
1521512397273,1,3,3
1521512397373,1,3,3
1521512397473,1,3,3
1521512397573,1,3,3
1521512397672,1,3,3
1521512397773,1,3,3
1521512397873,1,3,3
1521512397973,1,3,3
1521512398073,1,3,3
1521512398173,1,3,3
1521512398272,1,3,3
1521512398376,1,3,3
1521512398473,1,3,3
1521512398572,1,3,3
1521512398676,1,3,3
1521512398775,1,3,3
1521512398874,1,3,3
1521512398972,1,3,3
1521512399076,1,3,3
1521512399173,1,3,3
1521512399277,1,3,3
1521512399375,1,3,3
1521512399473,1,3,3
1521512399574,1,3,3
1521512399672,1,3,3
1521512399776,1,3,3
1521512399875,1,3,3
1521512399976,1,3,3
1521512400072,1,3,3
1521512400172,1,3,3
1521512400272,1,3,3
1521512400376,1,3,3
1521512400475,1,3,3
1521512400574,1,3,3
1521512400674,1,3,3
1521512400774,1,3,3
1521512400879,1,3,3
1521512400975,1,3,3
1521512401073,1,3,3
1521512401175,1,3,3
1521512401275,1,3,3
1521512401375,1,3,3
1521512401474,1,3,3
1521512401573,1,3,3
1521512401672,1,3,3
1521512401774,1,3,3
1521512401875,1,3,3
1521512401975,1,3,3
1521512402074,1,3,3
1521512402173,1,3,3
1521512402272,1,3,3
1521512402375,1,3,3
1521512402474,1,3,3
1521512402574,1,3,3
1521512402673,1,3,3
1521512402774,1,3,3
1521512402876,1,3,3
1521512402973,1,3,3
1521512403073,1,3,3
1521512403172,1,3,3
1521512403274,1,3,3
1521512403376,1,3,3
1521512403472,1,3,3
1521512403573,1,3,3
1521512403673,1,3,3
1521512403774,1,3,3
1521512403873,1,3,3
1521512403974,1,3,3
1521512404073,1,3,3
1521512404173,1,3,3
1521512404273,1,3,3
1521512404373,1,3,3
1521512404472,1,3,3
1521512404572,1,3,3
1521512404672,1,3,3
1521512404773,1,3,3
1521512404873,1,3,3
1521512404972,1,3,3
1521512405072,1,3,3
1521512405175,1,3,3
1521512405273,1,3,3
1521512405374,1,3,3
1521512405474,1,3,3
1521512405573,1,3,3
1521512405672,1,3,3
1521512405774,1,3,3
1521512405878,1,3,3
1521512405972,1,3,3
1521512406074,1,3,3
1521512406173,1,3,3
1521512406272,1,3,3
1521512406372,1,3,3
1521512406473,1,3,3
1521512406574,1,3,3
1521512406674,1,3,3
1521512406773,1,3,3
1521512406874,1,3,3
1521512406973,1,3,3
1521512407075,1,3,3
1521512407172,1,3,3
1521512407273,1,3,3
1521512407373,0,3,3
1521512407474,0,3,3
1521512407573,0,3,3
1521512407673,0,3,3
1521512407772,0,3,3
1521512407875,0,3,3
1521512407973,0,3,3
1521512408074,0,3,3
1521512408172,0,3,3
1521512408272,0,3,3
1521512408375,0,3,3
1521512408473,0,3,3
1521512408573,0,3,3
1521512408674,0,3,3
1521512408775,0,3,3
1521512408874,0,3,3
1521512408972,0,3,3
1521512409073,0,3,3
1521512409173,0,3,3
1521512409273,0,3,3
1521512409374,0,3,3
1521512409474,0,3,3
1521512409573,0,3,3
1521512409672,0,3,3
1521512409773,0,3,3
1521512409872,0,3,3
1521512409972,0,3,3
1521512410074,0,3,3
1521512410172,0,3,3
1521512410272,0,3,3
1521512410373,0,3,3
1521512410473,0,3,3
1521512410572,0,3,3
1521512410672,0,3,3
1521512410772,0,3,3
1521512410873,0,3,3
1521512410973,0,3,3
1521512411072,0,3,3
1521512411172,0,3,3
1521512411272,0,3,3
1521512411372,0,3,3
1521512411472,0,3,3
1521512411573,0,3,3
1521512411672,0,3,3
1521512411773,0,3,3
1521512411873,0,3,3
1521512411973,0,3,3
1521512412074,0,3,3
1521512412173,0,3,3
1521512412273,0,3,3
1521512412374,0,3,3
1521512412474,0,3,3
1521512412572,0,3,3
1521512412673,1,3,3
1521512412773,1,3,3
1521512412875,1,3,3
1521512412974,1,3,3
1521512413073,1,3,3
1521512413173,1,3,3
1521512413272,1,3,3
1521512413376,1,3,3
1521512413472,1,3,3
1521512413572,1,3,3
1521512413676,0,3,3
1521512413772,0,3,3
1521512413884,0,3,3
1521512413972,0,3,3
1521512414073,0,3,3
1521512414175,0,3,3
1521512414272,0,3,3
1521512414376,0,3,3
1521512414472,0,3,3
1521512414572,0,3,3
1521512414672,0,3,3
1521512414773,0,3,3
1521512414879,0,3,3
1521512414974,0,3,3
1521512415073,0,3,3
1521512415172,0,3,3
1521512415273,0,3,3
1521512415373,0,3,3
1521512415472,0,3,3
1521512415572,0,3,3
1521512415672,0,3,3
1521512415772,0,3,3
1521512415879,0,3,3
1521512415972,0,3,3
1521512416073,0,3,3
1521512416172,0,3,3
1521512416272,0,3,3
1521512416373,0,3,3
1521512416474,0,3,3
1521512416573,0,3,3
1521512416673,0,3,3
1521512416772,0,3,3
1521512416875,0,3,3
1521512416972,0,3,3
1521512417073,0,3,3
1521512417173,0,3,3
1521512417275,0,3,3
1521512417374,0,3,3
1521512417472,0,3,3
1521512417573,0,3,3
1521512417674,0,3,3
1521512417772,0,3,3
1521512417872,0,3,3
1521512417973,0,3,3
1521512418072,0,3,3
1521512418172,0,3,3
1521512418272,0,3,3
1521512418373,0,3,3
1521512418472,0,3,3
1521512418572,0,3,3
1521512418672,0,3,3
1521512418772,0,3,3
1521512418880,0,3,3
1521512418971,0,3,3
1521512419072,0,3,3
1521512419172,0,3,3
1521512419272,0,3,3
1521512419373,0,3,3
1521512419473,0,3,3
1521512419572,0,3,3
1521512419672,0,3,3
1521512419774,0,3,3
1521512419874,0,3,3
1521512419972,0,3,3
1521512420074,0,3,3
1521512420174,0,3,3
1521512420274,0,3,3
1521512420374,0,3,3
1521512420474,0,3,3
1521512420575,0,3,3
1521512420673,0,3,3
1521512420774,0,3,3
1521512420873,0,3,3
1521512420972,0,3,3
1521512421074,0,3,3
1521512421174,0,3,3
1521512421274,0,3,3
1521512421375,0,3,3
1521512421473,0,3,3
1521512421575,0,3,3
1521512421674,0,3,3
1521512421775,0,3,3
1521512421874,0,3,3
1521512421972,0,3,3
1521512422074,0,3,3
1521512422175,0,3,3
1521512422273,0,3,3
1521512422374,0,3,3
