EpochTime,BuffWarning,status,Resolution
1521147321127,1,3,2
1521147321228,1,3,2
1521147321327,1,3,2
1521147321427,1,3,2
1521147321528,1,3,2
1521147321629,1,3,2
1521147321727,1,3,2
1521147321827,1,3,2
1521147321929,1,3,2
1521147322028,1,3,2
1521147322129,1,3,2
1521147322230,1,3,2
1521147322327,1,3,2
1521147322428,1,3,2
1521147322527,1,3,2
1521147322628,1,3,2
1521147322728,1,3,2
1521147322829,1,3,2
1521147322929,1,3,2
1521147323029,1,3,2
1521147323129,1,3,2
1521147323229,1,3,2
1521147323332,1,3,2
1521147323427,1,3,2
1521147323529,1,3,2
1521147323629,1,3,2
1521147323729,1,3,2
1521147323831,1,3,2
1521147323927,1,3,2
1521147324027,1,3,2
1521147324127,1,3,2
1521147324228,1,3,2
1521147324332,1,3,2
1521147324431,1,3,2
1521147324532,1,3,2
1521147324634,1,3,2
1521147324729,1,3,2
1521147324828,1,3,2
1521147324927,1,3,2
1521147325027,1,3,2
1521147325135,1,3,2
1521147325227,1,3,2
1521147325334,1,3,2
1521147325427,1,3,2
1521147325532,1,3,2
1521147325727,1,3,2
1521147325835,1,3,2
1521147325927,1,3,2
1521147326036,1,3,2
1521147326136,1,3,2
1521147326228,1,3,2
1521147326337,1,3,2
1521147326428,1,3,2
1521147326537,1,3,2
1521147326727,1,3,2
1521147326833,1,3,2
1521147326930,1,3,2
1521147327027,1,3,2
1521147327137,1,3,2
1521147327228,1,3,2
1521147327331,1,3,2
1521147327429,1,3,2
1521147327529,1,3,2
1521147327633,1,3,2
1521147327727,1,3,2
1521147327829,1,3,2
1521147327929,1,3,2
1521147328029,1,3,2
1521147328228,1,3,2
1521147328328,1,3,2
1521147328428,1,3,2
1521147328533,1,3,2
1521147328728,1,3,2
1521147328829,1,3,2
1521147328927,1,3,2
1521147329029,1,3,2
1521147329135,1,3,2
1521147329227,1,3,2
1521147329332,1,3,2
1521147329427,1,3,2
1521147329527,1,3,2
1521147329634,1,3,2
1521147329728,1,3,2
1521147329829,1,3,2
1521147329927,1,3,2
1521147330027,1,3,2
1521147330132,1,3,2
1521147330228,1,3,2
1521147330328,1,3,2
1521147330427,1,3,2
1521147330530,1,3,2
1521147330636,1,3,2
1521147330730,1,3,2
1521147330828,1,3,2
1521147330929,1,3,2
1521147331031,1,3,2
1521147331127,1,3,2
1521147331230,1,3,2
1521147331329,1,3,2
1521147331427,1,3,2
1521147331526,1,3,2
1521147331635,1,3,2
1521147331728,1,3,2
1521147331827,1,3,2
1521147331932,1,3,2
1521147332026,1,3,2
1521147332130,1,3,2
1521147332229,1,3,2
1521147332327,1,3,2
1521147332428,0,3,2
1521147332527,0,3,2
1521147332632,0,3,2
1521147332734,0,3,2
1521147332828,0,3,2
1521147332928,0,3,2
1521147333028,0,3,2
1521147333128,0,3,2
1521147333227,0,3,2
1521147333326,0,3,2
1521147333427,0,3,2
1521147333528,0,3,2
1521147333628,0,3,2
1521147333732,0,3,2
1521147333829,0,3,2
1521147333927,0,3,2
1521147334027,0,3,2
1521147334127,0,3,2
1521147334227,0,3,2
1521147334327,0,3,2
1521147334428,0,3,2
1521147334528,0,3,2
1521147334631,0,3,2
1521147334737,0,3,2
1521147334828,0,3,2
1521147334931,0,3,2
1521147335028,0,3,2
1521147335131,0,3,2
1521147335231,0,3,2
1521147335327,0,3,2
1521147335428,0,3,2
1521147335527,0,3,2
1521147335628,0,3,2
1521147335736,0,3,2
1521147335827,0,3,2
1521147335932,0,3,2
1521147336027,0,3,2
1521147336128,0,3,2
1521147336228,0,3,2
1521147336328,0,3,2
1521147336427,0,3,2
1521147336529,0,3,2
1521147336633,0,3,2
1521147336727,0,3,2
1521147336830,0,3,2
1521147336928,0,3,2
1521147337027,0,3,2
1521147337129,0,3,2
1521147337228,0,3,2
1521147337328,0,3,2
1521147337429,0,3,2
1521147337530,0,3,2
1521147337634,0,3,2
1521147337730,0,3,2
1521147337830,0,3,2
1521147337931,0,3,2
1521147338030,0,3,2
1521147338131,0,3,2
1521147338231,0,3,2
1521147338331,0,3,2
1521147338432,0,3,2
1521147338532,0,3,2
1521147338630,0,3,2
1521147338732,0,3,2
1521147338833,0,3,2
1521147338928,0,3,2
1521147339033,0,3,2
1521147339128,0,3,2
1521147339232,0,3,2
1521147339328,0,3,2
1521147339427,0,3,2
1521147339528,0,3,2
1521147339628,0,3,2
1521147339733,0,3,2
1521147339827,0,3,2
1521147339929,0,3,2
1521147340036,0,3,2
1521147340130,0,3,2
1521147340236,0,3,2
1521147340336,0,3,2
1521147340430,0,3,2
1521147340537,0,3,2
1521147340629,0,3,2
1521147340737,0,3,2
1521147340835,0,3,2
1521147340927,0,3,2
1521147341036,0,3,2
1521147341129,0,3,2
1521147341234,0,3,2
1521147341329,0,3,2
1521147341433,0,3,2
1521147341531,0,3,2
1521147341628,0,3,2
1521147341736,0,3,2
1521147341828,0,3,2
1521147341930,0,3,2
1521147342028,0,3,2
1521147342127,0,3,2
1521147342236,0,3,2
1521147342327,0,3,2
1521147342431,0,3,2
1521147342535,0,3,2
1521147342628,0,3,2
1521147342730,0,3,2
1521147342827,0,3,2
1521147342928,0,3,2
1521147343028,0,3,2
1521147343127,0,3,2
1521147343235,0,3,2
1521147343327,0,3,2
1521147343428,0,3,2
1521147343533,0,3,2
1521147343628,0,3,2
1521147343729,0,3,2
1521147343829,0,3,2
1521147343929,0,3,2
1521147344027,0,3,2
1521147344128,0,3,2
1521147344228,0,3,2
1521147344328,0,3,2
1521147344428,0,3,2
1521147344526,0,3,2
1521147344630,0,3,2
1521147344729,0,3,2
1521147344828,0,3,2
1521147344928,0,3,2
1521147345029,0,3,2
1521147345131,0,3,2
1521147345229,0,3,2
1521147345330,0,3,2
1521147345430,0,3,2
1521147345530,0,3,2
1521147345631,0,3,2
1521147345732,0,3,2
1521147345827,0,3,2
1521147345931,0,3,2
1521147346032,0,3,2
1521147346134,0,3,2
1521147346231,0,3,2
1521147346333,0,3,2
1521147346430,0,3,2
1521147346535,0,3,2
1521147346635,0,3,2
1521147346730,0,3,2
1521147346834,0,3,2
1521147346930,0,3,2
1521147347034,0,3,2
1521147347127,0,3,2
1521147347230,0,3,2
1521147347335,0,3,2
1521147347428,0,3,2
1521147347536,0,3,2
1521147347630,0,3,2
1521147347737,0,3,2
1521147347828,0,3,2
1521147347929,0,3,2
1521147348036,0,3,2
1521147348129,0,3,2
1521147348236,0,3,2
1521147348334,0,3,2
1521147348426,0,3,2
1521147348536,0,3,2
1521147348629,0,3,2
1521147348736,0,3,2
1521147348836,0,3,2
1521147348926,0,3,2
1521147349026,0,3,2
1521147349127,0,3,2
1521147349227,0,3,2
1521147349327,0,3,2
1521147349426,0,3,2
1521147349528,0,3,2
1521147349627,0,3,2
1521147349727,0,3,2
1521147349827,0,3,2
1521147349927,0,3,2
1521147350034,0,3,2
1521147350128,0,3,2
1521147350231,0,3,2
1521147350334,0,3,2
1521147350427,0,3,2
1521147350531,0,3,2
1521147350629,0,3,2
1521147350732,0,3,2
1521147350834,0,3,2
1521147350926,0,3,2
1521147351027,0,3,2
1521147351128,0,3,2
1521147351227,0,3,2
1521147351327,0,3,2
1521147351427,0,3,2
1521147351528,0,3,2
1521147351632,0,3,2
1521147351729,0,3,2
1521147351829,0,3,2
1521147351930,0,3,2
1521147352029,0,3,2
1521147352131,0,3,2
1521147352232,0,3,2
1521147352329,0,3,2
1521147352431,0,3,2
1521147352529,0,3,2
1521147352633,0,3,2
1521147352730,0,3,2
1521147352830,0,3,2
1521147352932,0,3,2
1521147353032,0,3,2
1521147353133,0,3,2
1521147353230,0,3,2
1521147353332,0,3,2
1521147353431,0,3,2
1521147353532,0,3,2
1521147353729,0,3,2
1521147353831,0,3,2
1521147353927,0,3,2
1521147354031,0,3,2
1521147354129,0,3,2
1521147354227,0,3,2
1521147354328,0,3,2
1521147354430,0,3,2
1521147354530,0,3,2
1521147354729,0,3,2
1521147354835,0,3,2
1521147354928,0,3,2
1521147355036,0,3,2
1521147355226,0,3,2
1521147355336,0,3,2
1521147355428,0,3,2
1521147355535,0,3,2
1521147355635,0,3,2
1521147355728,0,3,2
1521147355830,0,3,2
1521147355927,0,3,2
1521147356035,0,3,2
1521147356129,0,3,2
1521147356227,0,3,2
1521147356334,0,3,2
1521147356427,0,3,2
1521147356536,0,3,2
1521147356633,0,3,2
1521147356727,0,3,2
