EpochTime,BuffWarning,status,Resolution
1525371789547,1,3,2
1525371789648,1,3,2
1525371789748,1,3,2
1525371789849,1,3,2
1525371789948,1,3,2
1525371790048,1,3,2
1525371790148,1,3,2
1525371790248,1,3,2
1525371790348,1,3,2
1525371790448,1,3,2
1525371790549,0,3,2
1525371790649,0,3,2
1525371790748,0,3,2
1525371790849,0,3,2
1525371790949,0,3,2
1525371791050,0,3,2
1525371791149,0,3,2
1525371791249,0,3,2
1525371791349,0,3,2
1525371791449,0,3,2
1525371791549,0,3,2
1525371791649,0,3,2
1525371791749,0,3,2
1525371791849,0,3,2
1525371791949,0,3,2
1525371792048,0,3,2
1525371792149,0,3,2
1525371792249,0,3,2
1525371792349,0,3,2
1525371792448,0,3,2
1525371792549,0,3,2
1525371792648,0,3,2
1525371792748,0,3,2
1525371792849,0,3,2
1525371792949,0,3,2
1525371793049,0,3,2
1525371793149,0,3,2
1525371793249,0,3,2
1525371793349,0,3,2
1525371793449,0,3,2
1525371793550,0,3,2
1525371793649,0,3,2
1525371793749,0,3,2
1525371793849,0,3,2
1525371793949,0,3,2
1525371794149,0,3,2
1525371794249,0,3,2
1525371794349,0,3,2
1525371794447,0,3,2
1525371794549,0,3,2
1525371794648,0,3,2
1525371794747,0,3,2
1525371794849,0,3,2
1525371794949,0,3,2
1525371795048,0,3,2
1525371795149,0,3,2
1525371795248,0,3,2
1525371795348,0,3,2
1525371795449,0,3,2
1525371795548,0,3,2
1525371795649,0,3,2
1525371795749,0,3,2
1525371795849,0,3,2
1525371795947,0,3,2
1525371796048,0,3,2
1525371796149,0,3,2
1525371796249,0,3,2
1525371796348,0,3,2
1525371796449,0,3,2
1525371796549,0,3,2
1525371796648,0,3,2
1525371796749,0,3,2
1525371796849,0,3,2
1525371796948,0,3,2
1525371797049,0,3,2
1525371797149,0,3,2
1525371797249,0,3,2
1525371797349,0,3,2
1525371797448,0,3,2
1525371797549,0,3,2
1525371797649,0,3,2
1525371797749,0,3,2
1525371797849,0,3,2
1525371797948,0,3,2
1525371798048,0,3,2
1525371798150,0,3,2
1525371798248,0,3,2
1525371798349,0,3,2
1525371798449,0,3,2
1525371798549,0,3,2
1525371798649,0,3,2
1525371798749,0,3,2
1525371798849,0,3,2
1525371798949,0,3,2
1525371799049,0,3,2
1525371799149,0,3,2
1525371799248,0,3,2
1525371799349,0,3,2
1525371799449,0,3,2
1525371799549,0,3,2
1525371799649,0,3,2
1525371799748,0,3,2
1525371799849,0,3,2
1525371799949,0,3,2
1525371800048,0,3,2
1525371800148,0,3,2
1525371800249,0,3,2
1525371800348,0,3,2
1525371800448,0,3,2
1525371800548,0,3,2
1525371800648,0,3,2
1525371800750,0,3,2
1525371800848,0,3,2
1525371800949,0,3,2
1525371801049,0,3,2
1525371801149,0,3,2
1525371801249,0,3,2
1525371801349,0,3,2
1525371801449,0,3,2
1525371801548,0,3,2
1525371801649,0,3,2
1525371801750,0,3,2
1525371801849,0,3,2
1525371801949,0,3,2
1525371802049,0,3,2
1525371802149,0,3,2
1525371802250,0,3,2
1525371802349,0,3,2
1525371802450,0,3,2
1525371802549,0,3,2
1525371802649,0,3,2
1525371802750,0,3,2
1525371802849,0,3,2
1525371802949,0,3,2
1525371803049,0,3,2
1525371803149,0,3,2
1525371803249,0,3,2
1525371803349,0,3,2
1525371803449,0,3,2
1525371803549,0,3,2
1525371803649,0,3,2
1525371803748,0,3,2
1525371803850,0,3,2
1525371803949,0,3,2
1525371804050,0,3,2
1525371804149,0,3,2
1525371804248,0,3,2
1525371804349,0,3,2
1525371804449,0,3,2
1525371804550,0,3,2
1525371804649,0,3,2
1525371804749,0,3,2
1525371804849,0,3,2
1525371804950,0,3,2
1525371805050,0,3,2
1525371805149,0,3,2
1525371805249,0,3,2
1525371805349,0,3,2
1525371805449,0,3,2
1525371805549,0,3,2
1525371805649,0,3,2
1525371805748,0,3,2
1525371805849,0,3,2
1525371805949,0,3,2
1525371806049,0,3,2
1525371806149,0,3,2
1525371806249,0,3,2
1525371806350,0,3,2
1525371806450,0,3,2
1525371806549,0,3,2
1525371806650,0,3,2
1525371806749,0,3,2
1525371806849,0,3,2
1525371806950,0,3,2
1525371807049,0,3,2
1525371807149,0,3,2
1525371807249,0,3,2
1525371807348,0,3,2
1525371807448,0,3,2
1525371807548,0,3,2
1525371807649,0,3,2
1525371807749,0,3,2
1525371807850,0,3,2
1525371807949,0,3,2
1525371808049,0,3,2
1525371808149,0,3,2
1525371808248,0,3,2
1525371808348,0,3,2
1525371808449,0,3,2
1525371808550,0,3,2
1525371808649,0,3,2
1525371808749,0,3,2
1525371808849,0,3,2
1525371808950,0,3,2
1525371809049,0,3,2
1525371809149,0,3,2
1525371809249,0,3,2
1525371809349,0,3,2
1525371809449,0,3,2
1525371809549,0,3,2
1525371809649,0,3,2
1525371809749,0,3,2
1525371809848,0,3,2
1525371809949,0,3,2
1525371810049,0,3,2
1525371810148,0,3,2
1525371810249,0,3,2
1525371810349,0,3,2
1525371810449,0,3,2
1525371810549,0,3,2
1525371810649,0,3,2
1525371810748,0,3,2
1525371810850,0,3,2
1525371810949,0,3,2
1525371811048,0,3,2
1525371811150,0,3,2
1525371811249,0,3,2
1525371811349,0,3,2
1525371811449,0,3,2
1525371811549,0,3,2
1525371811649,0,3,2
1525371811749,0,3,2
1525371811848,0,3,2
1525371811949,0,3,2
1525371812049,0,3,2
1525371812150,0,3,2
1525371812249,0,3,2
1525371812350,0,3,2
1525371812449,0,3,2
1525371812549,0,3,2
1525371812649,0,3,2
1525371812749,0,3,2
1525371812849,0,3,2
1525371812950,0,3,2
1525371813048,0,3,2
1525371813148,0,3,2
1525371813248,0,3,2
1525371813350,0,3,2
1525371813449,0,3,2
1525371813549,0,3,2
1525371813649,0,3,2
1525371813748,0,3,2
1525371813849,0,3,2
1525371813950,0,3,2
1525371814048,0,3,2
1525371814148,0,3,2
1525371814248,0,3,2
1525371814348,0,3,2
1525371814450,0,3,2
1525371814549,0,3,2
1525371814649,0,3,2
1525371814749,0,3,2
1525371814848,0,3,2
1525371814949,0,3,2
1525371815049,0,3,2
1525371815149,0,3,2
1525371815248,0,3,2
1525371815348,0,3,2
1525371815450,0,3,2
1525371815548,0,3,2
1525371815649,0,3,2
1525371815748,0,3,2
1525371815849,0,3,2
1525371815949,0,3,2
1525371816048,0,3,2
1525371816150,0,3,2
1525371816248,0,3,2
1525371816348,0,3,2
1525371816448,0,3,2
1525371816548,0,3,2
1525371816649,0,3,2
1525371816748,0,3,2
1525371816849,0,3,2
1525371816949,0,3,2
1525371817049,0,3,2
1525371817148,0,3,2
1525371817248,0,3,2
1525371817348,0,3,2
1525371817449,0,3,2
1525371817549,0,3,2
1525371817649,0,3,2
1525371817749,0,3,2
